WardName,ZoneNo.,FacilityName,Type(Hospital/NursingHome/Lab),Class:(Public/Private),PharmacyAvailable:Yes/No,NumberofBedsinfacilitytype,NumberofDoctors/Physicians,NumberofNurses,NumberofMidwivesProfessional,AverageMonthlyPatientFootfall,AmbulanceServiceAvailable,CountofAmbulance,WardNo.,FacilityNo.,Cluster,Cluster_Name,AnomalyScore,AnomalyReason
Ambil Odha,5,"Late Matoshri Ramabai Ambedkar Maternity Home, AmbilOdha",16,0,1,10,2,4,1,4500,1,1,1,316,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Aundh,2,"Aundh Kuti Maternity Home, Aundh",16,0,1,14,2,5,2,2500,1,1,3,48,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Bopodi,2,"Late Draupadabai Murlidhar Khedekar Maternity Home, Bopodi",16,0,1,16,2,4,9,1900,1,1,12,307,2,Specialized Services,-1,High CountofAmbulance; High NumberofNurses
Shivaji Nagar Station,2,"Dr. Dalvi, PMC Joint Project",16,0,1,30,4,7,9,2400,1,2,66,138,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Hadapsar,4,"Late Anna Saheb Magar Maternity Home, Hadapsar",16,0,1,20,2,3,6,4500,1,1,27,297,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Health Camp,2,"Dr. Homi J. Bhabha Maternity Home, Health Camp",16,0,1,16,2,6,6,4000,1,2,28,145,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
"Gujrath Colony, Kothrud",2,"Late Jayabai Sutar Maternity Home, Kothrud",16,0,1,10,4,7,6,5000,1,4,24,309,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Mundhwa,4,"Late Sakharam Kundalik Kodre Maternity Home, Mundhwa",16,0,1,8,2,6,5,3500,1,1,50,326,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Pashan Gaon,2,"Late Sahadev Eknath Nimhan Maternity Home, Pashan",16,0,1,16,2,3,5,1800,1,1,55,325,2,Specialized Services,-1,High CountofAmbulance; High NumberofNurses
Bhawani Peth,5,Late Chandu Mama Sonawane Maternity Home,16,0,1,86,5,12,9,5500,1,2,9,303,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Wanowrie,4,"Late Namedevrao Shivarkar Maternity Home, Wanorie",16,0,1,10,1,4,4,1900,1,1,77,321,2,Specialized Services,-1,High CountofAmbulance; High NumberofNurses
Yerawada,1,"Bharatratna Rajiv Gandhi Hospital, Yerawada",16,0,1,180,4,18,10,8000,1,2,79,63,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Guruwar Peth,5,"Late Savitribai Phule Maternity Home, Guruwarpeth",16,0,1,10,2,2,4,3500,1,1,25,327,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
Kondhwa,4,"Late Minatai Thakare Maternity Home, Kondhwa",16,0,1,10,2,6,0,2600,1,1,40,318,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
"Gadikhana, Shukruwar Peth",5,"Late Malti Kachi Maternity Home, Gadikhana",16,0,1,20,2,1,5,2500,1,2,19,314,2,Specialized Services,-1,High AverageMonthlyPatientFootfall; High CountofAmbulance; High NumberofNurses
